,DATA_EPI,CASO
0,2018-07,2
1,2018-09,3
2,2018-10,6
3,2018-11,11
4,2018-12,10
5,2018-13,21
6,2018-14,24
7,2018-15,34
8,2018-16,38
9,2018-17,37
10,2018-18,54
11,2018-19,115
12,2018-20,114
13,2018-21,135
14,2018-22,225
15,2018-23,248
16,2018-24,339
17,2018-25,390
18,2018-26,540
19,2018-27,696
20,2018-28,645
21,2018-29,731
22,2018-30,644
23,2018-31,513
24,2018-32,457
25,2018-33,364
26,2018-34,272
27,2018-35,166
28,2018-36,108
29,2018-37,109
30,2018-38,65
31,2018-39,53
32,2018-40,36
33,2018-41,30
34,2018-42,25
35,2018-43,18
36,2018-44,13
37,2018-45,3
38,2018-46,2
39,2018-49,1
40,2019-02,1
41,2019-04,1
42,2019-05,1
43,2019-52,1
44,2020-04,1
45,2020-05,1
46,2020-06,1
47,2020-10,1
