,DATA_EPI,CASO
0,2019-11,1
1,2019-15,1
2,2019-18,1
3,2019-20,1
4,2019-22,2
5,2019-23,2
6,2019-24,5
7,2019-25,5
8,2019-26,10
9,2019-27,13
10,2019-28,20
11,2019-29,30
12,2019-30,34
13,2019-31,52
14,2019-32,98
15,2019-33,79
16,2019-34,76
17,2019-35,68
18,2019-36,66
19,2019-37,69
20,2019-38,45
21,2019-39,36
22,2019-40,35
23,2019-41,29
24,2019-42,36
25,2019-43,20
26,2019-44,15
27,2019-45,20
28,2019-46,11
29,2019-47,12
30,2019-48,10
31,2019-49,5
32,2019-50,2
33,2019-51,3
34,2019-52,6
35,2020-01,4
36,2020-03,2
37,2020-05,3
38,2020-06,2
39,2020-07,7
40,2020-08,4
41,2020-09,4
42,2020-10,4
43,2020-11,2
44,2020-15,1
45,2020-24,1
46,2020-30,1
47,2020-32,1
48,2020-33,1
